mechanism,rate,rate_pct,gene,rmse_mean,rmse_std,mae_mean,n_reps,n_predictors_selected_mean
mcar,0.1,10,CDC6,0.20550865268179122,0.044942802970228464,0.1352785692742716,5,19.2
mcar,0.1,10,NDC80,0.21674311881264713,0.013022800264407955,0.16471160092429316,5,23.4
mcar,0.1,10,MDM2,0.22903446073667463,0.05302998288560876,0.15492150297848822,5,21.8
mcar,0.1,10,KIF2C,0.2531519408006969,0.02108054418879643,0.1958430079055126,5,21.4
mcar,0.1,10,CEP55,0.2775221277020347,0.019347340251969148,0.21032801814626906,5,23.2
mcar,0.1,10,NUF2,0.28074129240091295,0.03750120133669346,0.1923637656032974,5,19.8
mcar,0.1,10,EXO1,0.29417634526408537,0.017510190416399955,0.22869473360556367,5,18.2
mcar,0.1,10,ANLN,0.29591762959024737,0.019308357876948276,0.22123976357454117,5,21.8
mcar,0.1,10,BAG1,0.3105668878685818,0.030653711121344268,0.21735741567627143,5,22.8
mcar,0.1,10,RRM2,0.3309465031176255,0.01639509392609249,0.2526048498081755,5,22.6
mcar,0.1,10,CCNB1,0.3459925293569162,0.012597389689344454,0.26809118482749544,5,24.0
mcar,0.1,10,CDC20,0.37461621087345087,0.023821463383823193,0.28502214946832954,5,21.8
mcar,0.1,10,MELK,0.3747952064803015,0.03273095281010805,0.2796588662537866,5,21.2
mcar,0.1,10,ORC6,0.37524348923755346,0.020597633665728757,0.31094240159807995,5,23.4
mcar,0.1,10,PTTG1,0.37734460506474804,0.028794253315381237,0.2920324380697425,5,23.8
mcar,0.1,10,UBE2T,0.3821700777741116,0.031140413317107835,0.29486815781989006,5,21.2
mcar,0.1,10,CENPF,0.3958239737595374,0.04190011163477438,0.3025995260422317,5,22.4
mcar,0.1,10,UBE2C,0.4049697084760221,0.009369823709128212,0.31158823202078667,5,23.8
mcar,0.1,10,TYMS,0.46482516898489745,0.023153307134162117,0.3631186757329781,5,23.4
mcar,0.1,10,CCNE1,0.4832176751919377,0.039213793786303706,0.3252323415678685,5,23.8
mcar,0.1,10,MIA,0.48582241487631156,0.07183648700492118,0.29434167738062045,5,22.8
mcar,0.1,10,BIRC5,0.5090588993089709,0.043334297970851254,0.3698140910662619,5,20.6
mcar,0.1,10,GRB7,0.5152109307472408,0.06317666814177965,0.382018797162592,5,19.2
mcar,0.1,10,ACTR3B,0.5158777559330385,0.09807828368266763,0.3326623739389862,5,21.8
mcar,0.1,10,TMEM45B,0.5197602400035519,0.030669019565671224,0.39191708703915307,5,21.8
mcar,0.1,10,FOXA1,0.5245397372438788,0.0148318468633902,0.39606519949703617,5,22.4
mcar,0.1,10,ERBB2,0.5394178251677483,0.03885270146345412,0.4089612059911044,5,23.2
mcar,0.1,10,CXXC5,0.5526164441771283,0.03769331906965282,0.41795295017087597,5,23.6
mcar,0.1,10,EGFR,0.5565884156410641,0.10337722728585057,0.28173438625098374,5,20.8
mcar,0.1,10,KRT5,0.5689264206221087,0.0294185543899374,0.31508175326805166,5,22.8
mcar,0.1,10,GPR160,0.5863514950983253,0.03611162929133895,0.45257157128135167,5,23.8
mcar,0.1,10,BLVRA,0.5924130304838534,0.03532264797228091,0.4364418939736823,5,22.2
mcar,0.1,10,MLPH,0.6327344829655448,0.022515204138474104,0.47694236830571085,5,22.8
mcar,0.1,10,KRT14,0.6746485798991652,0.09308939507080705,0.4109594624425962,5,21.8
mcar,0.1,10,BCL2,0.6801109591706936,0.04226422288425069,0.5263000264814808,5,23.4
mcar,0.1,10,FOXC1,0.7319652869030321,0.07402832210489156,0.5355784481754884,5,24.0
mcar,0.1,10,KRT17,0.786555261200855,0.05379473872872495,0.5321954024835034,5,6.4
mcar,0.1,10,MYC,0.7907448962572642,0.0627837045491684,0.640255113040725,5,24.0
