cohort,mechanism,imputer,missing_rate,f1_mean,f1_std,bal_mean,bal_std,n_cls_rows,rmse_mean,rmse_std,mae_mean,mae_std,corr_rv_mean,corr_frobenius_rel_mean
metabric,mar,RFECA_SVR(k=10),0.0,0.8859360095573787,0.01389085443373495,0.8752464911354513,0.013119020735135928,50,,,,,,
metabric,mar,RFECA_SVR(k=20),0.0,0.8859360095573787,0.01389085443373495,0.8752464911354513,0.013119020735135928,50,,,,,,
metabric,mar,MissForest,0.0,0.8859360095573787,0.01389085443373495,0.8752464911354513,0.013119020735135928,50,,,,,,
metabric,mar,SimpleMean,0.05,0.8807230463647769,0.014271484721750223,0.8709846637102736,0.015940029921229424,50,1.1688933346254948,0.04049104167898921,0.8278765175265456,0.02388001015349388,0.9977647441987761,0.09044317558776303
metabric,mar,"KNN(k=5,dist)",0.05,0.8803363082962824,0.013769226688709337,0.8702920596020723,0.01444301157219199,50,0.6996958915588981,0.027804266380869153,0.4776743392176845,0.017087558830506736,0.9993058780812967,0.0384701423110483
metabric,mar,RFECA_SVR(k=5),0.05,0.8801272587714714,0.013026921620866574,0.8705611034237479,0.013618915383602315,50,0.721346188633734,0.03229794541875955,0.48076225280950424,0.01865072708588321,0.9992451360003857,0.04041312813381798
metabric,mar,RFECA_SVR(k=10),0.05,0.8812410534187957,0.014549699013345208,0.8713267078450005,0.015351236428879056,50,0.7054996376019977,0.030450903366837097,0.4697665968867925,0.01714415709844038,0.9992936555593147,0.03981425283342843
metabric,mar,RFECA_SVR(k=20),0.05,0.8816077162833882,0.012571682436401676,0.8715771269452272,0.014072616729350425,50,0.7002640860420704,0.028207867488415615,0.46829054867043807,0.01763512341901334,0.9993210733502713,0.03874437175832204
metabric,mar,MissForest,0.05,0.8805805867748586,0.013069796459966452,0.8707137577869285,0.014264864033086775,50,0.6290763935180604,0.027795682943559247,0.42605483072672556,0.017794664357260345,0.9994367754978134,0.035721277544885174
metabric,mar,SimpleMean,0.1,0.8743290626841953,0.014117774064203331,0.8652054267227566,0.016526204042685108,50,1.160214143532983,0.026786960593045563,0.8191159791076408,0.018334243746730376,0.9942925728728252,0.15508212157429221
metabric,mar,"KNN(k=5,dist)",0.1,0.8778545991857502,0.014086175062295932,0.8680423254181278,0.014730124975486742,50,0.7098662056262381,0.024937101731938766,0.48310158594163377,0.01469673392653929,0.9984620111159137,0.05908812386922853
metabric,mar,RFECA_SVR(k=5),0.1,0.878759537615641,0.012818668073376626,0.8690496381382131,0.014799887302283985,50,0.741373720313619,0.02472616426420626,0.494174801352403,0.014164922205758967,0.9982069623234301,0.06264105042179192
metabric,mar,RFECA_SVR(k=10),0.1,0.8768648126699198,0.01380305518064667,0.8679069680854019,0.014834861556421898,50,0.7191646774100002,0.025763243117377273,0.4798054467051846,0.01368109528193788,0.9983846503651442,0.06110418139617422
metabric,mar,RFECA_SVR(k=20),0.1,0.8779987803856864,0.014192512163659323,0.8684722639006978,0.01637226532081241,50,0.717180193815534,0.026578105346783246,0.4789436307325942,0.015163211648500007,0.9984482425476879,0.059152179106485014
metabric,mar,MissForest,0.1,0.8791786876085737,0.01316796681798823,0.8692159834175238,0.01389118932899293,50,0.6427895028879882,0.023008014496959772,0.4306833769894324,0.013509483236826093,0.9987570661639641,0.055866747977327436
metabric,mar,SimpleMean,0.2,0.8635717320954565,0.015994578252742503,0.8540339809242249,0.01704657782661135,50,1.1491114075405715,0.02152726201928631,0.811289192301281,0.015053051145532641,0.9830501684053315,0.2687487132158899
metabric,mar,"KNN(k=5,dist)",0.2,0.8721681465435438,0.014562735355476236,0.8621136891563721,0.016807878804321195,50,0.7507455341014431,0.024603726870038093,0.5089724819832425,0.014371565147719215,0.996180096315936,0.09559222527515508
metabric,mar,RFECA_SVR(k=5),0.2,0.8708808668237511,0.015917950548344027,0.8620926003108288,0.017405910095008283,50,0.787268145498178,0.020838732256080687,0.5212400168869139,0.013242278840428095,0.9953430321793105,0.09829908049696372
metabric,mar,RFECA_SVR(k=10),0.2,0.8709077508526741,0.017196040406993292,0.8623739096447699,0.017859746144681533,50,0.763778468068284,0.02044882649998369,0.5064137407419284,0.01206384937800143,0.9958903125169472,0.09552496708203527
