cohort,missing_rate,metric,method_a,method_b,mean_a,mean_b,delta_a_minus_b,p_value,n_pairs,note
discovery,0.2,rmse,RFECA_SVR(k=5),RFECA_SVR(k=20),2.1743004675557405,2.6260577692841762,-0.45175730172843576,0.001953125,10,
discovery,0.2,rmse,RFECA_SVR(k=10),RFECA_SVR(k=20),2.3227051231032236,2.6260577692841762,-0.3033526461809526,0.001953125,10,
discovery,0.3,rmse,SimpleMean,"KNN(k=5,dist)",2.785821428510163,2.1541714459240033,0.6316499825861595,0.001953125,10,
discovery,0.3,rmse,SimpleMean,RFECA_SVR(k=5),2.785821428510163,2.320350083104958,0.46547134540520485,0.001953125,10,
discovery,0.3,rmse,SimpleMean,RFECA_SVR(k=10),2.785821428510163,2.5591873431285808,0.22663408538158203,0.00390625,10,
discovery,0.3,rmse,SimpleMean,RFECA_SVR(k=20),2.785821428510163,2.825793539666974,-0.03997211115681143,0.431640625,10,
discovery,0.3,rmse,"KNN(k=5,dist)",RFECA_SVR(k=5),2.1541714459240033,2.320350083104958,-0.1661786371809546,0.00390625,10,
discovery,0.3,rmse,"KNN(k=5,dist)",RFECA_SVR(k=10),2.1541714459240033,2.5591873431285808,-0.4050158972045774,0.001953125,10,
discovery,0.3,rmse,"KNN(k=5,dist)",RFECA_SVR(k=20),2.1541714459240033,2.825793539666974,-0.6716220937429709,0.001953125,10,
discovery,0.3,rmse,RFECA_SVR(k=5),RFECA_SVR(k=10),2.320350083104958,2.5591873431285808,-0.23883726002362282,0.001953125,10,
discovery,0.3,rmse,RFECA_SVR(k=5),RFECA_SVR(k=20),2.320350083104958,2.825793539666974,-0.5054434565620163,0.001953125,10,
discovery,0.3,rmse,RFECA_SVR(k=10),RFECA_SVR(k=20),2.5591873431285808,2.825793539666974,-0.26660619653839346,0.001953125,10,
metabric,0.05,rmse,SimpleMean,"KNN(k=5,dist)",1.0667378370555554,0.6795133633865713,0.38722447366898405,0.001953125,10,
metabric,0.05,rmse,SimpleMean,RFECA_SVR(k=5),1.0667378370555554,0.6931456736171708,0.37359216343838453,0.001953125,10,
metabric,0.05,rmse,SimpleMean,RFECA_SVR(k=10),1.0667378370555554,0.6778398115407647,0.3888980255147907,0.001953125,10,
metabric,0.05,rmse,SimpleMean,RFECA_SVR(k=20),1.0667378370555554,0.6734393084175554,0.39329852863799997,0.001953125,10,
metabric,0.05,rmse,"KNN(k=5,dist)",RFECA_SVR(k=5),0.6795133633865713,0.6931456736171708,-0.01363231023059952,0.01953125,10,
metabric,0.05,rmse,"KNN(k=5,dist)",RFECA_SVR(k=10),0.6795133633865713,0.6778398115407647,0.0016735518458066423,0.6953125,10,
metabric,0.05,rmse,"KNN(k=5,dist)",RFECA_SVR(k=20),0.6795133633865713,0.6734393084175554,0.0060740549690159185,0.083984375,10,
metabric,0.05,rmse,RFECA_SVR(k=5),RFECA_SVR(k=10),0.6931456736171708,0.6778398115407647,0.015305862076406163,0.001953125,10,
metabric,0.05,rmse,RFECA_SVR(k=5),RFECA_SVR(k=20),0.6931456736171708,0.6734393084175554,0.01970636519961544,0.001953125,10,
metabric,0.05,rmse,RFECA_SVR(k=10),RFECA_SVR(k=20),0.6778398115407647,0.6734393084175554,0.004400503123209276,0.048828125,10,
metabric,0.1,rmse,SimpleMean,"KNN(k=5,dist)",1.0632839529894023,0.6914800654508626,0.37180388753853966,0.001953125,10,
metabric,0.1,rmse,SimpleMean,RFECA_SVR(k=5),1.0632839529894023,0.7057575081677976,0.35752644482160467,0.001953125,10,
metabric,0.1,rmse,SimpleMean,RFECA_SVR(k=10),1.0632839529894023,0.6890601949888076,0.3742237580005947,0.001953125,10,
metabric,0.1,rmse,SimpleMean,RFECA_SVR(k=20),1.0632839529894023,0.6858574707692758,0.3774264822201264,0.001953125,10,
