mechanism,missing_rate,method,gene,rmse_mean,rmse_std,mae_mean,mae_std,n_reps
mar,0.05,KNN,PTTG1,0.4642405670046158,0.015024102297876802,0.3579125928114799,0.012167611357450073,5
mar,0.05,KNN,RRM2,0.41098442867841084,0.03902672959941474,0.3106471929121356,0.025958770883837013,5
mar,0.05,KNN,SFRP1,1.1281769971244815,0.14568518663815835,0.8195076115188007,0.09864311798170411,5
mar,0.05,KNN,SLC39A6,1.1202136115615449,0.10649266698689996,0.8824327708273711,0.0822646979278277,5
mar,0.05,KNN,TMEM45B,0.4513047084075271,0.049139692536527994,0.33901804436659666,0.033390802340546234,5
mar,0.05,KNN,TYMS,0.6148029364499077,0.052025012840583064,0.49058532649728087,0.037403241068213966,5
mar,0.05,KNN,UBE2C,0.5575774113241866,0.07989069775235637,0.4433185374554457,0.05562716629102726,5
mar,0.05,KNN,UBE2T,0.4801245345632818,0.05569261544679058,0.3783122766024785,0.036456709329604056,5
mar,0.05,Mean,ACTR3B,0.7609361141323083,0.15627847859681143,0.49723433956198787,0.08294914331147178,5
mar,0.05,Mean,ANLN,0.6704860856482936,0.06077906661835588,0.5483743218119427,0.037132103207369795,5
mar,0.05,Mean,BAG1,0.30555024017986215,0.04171648150526415,0.2264644295917059,0.01951696835236293,5
mar,0.05,Mean,BCL2,1.1386773649951998,0.10298588882437967,0.9628775938952223,0.09788495399212932,5
mar,0.05,Mean,BIRC5,1.086128419204574,0.07304043725688225,0.8893050791553645,0.06279135664421764,5
mar,0.05,Mean,BLVRA,0.7552432181877269,0.027640547884840744,0.5926011274763308,0.02031203061079508,5
mar,0.05,Mean,CCNB1,0.6677429918152515,0.058027826110528216,0.5361927464762146,0.0600084104898014,5
mar,0.05,Mean,CCNE1,1.0409337205887081,0.1306134530462452,0.7497593766598062,0.053196962149592256,5
mar,0.05,Mean,CDC20,1.3689300410433671,0.07298240279177311,1.1335445716256558,0.07095287919968418,5
mar,0.05,Mean,CDC6,0.23303686508527294,0.061982955144824735,0.1539604337130684,0.022108287809789687,5
mar,0.05,Mean,CDH3,1.2773525950638276,0.07481044198579027,1.0283544716988622,0.0604008657745895,5
mar,0.05,Mean,CENPF,0.950185994835533,0.03864829092672479,0.7977595008075897,0.044136554339450275,5
mar,0.05,Mean,CEP55,0.8801007697545533,0.046862870178658006,0.7233309123391648,0.04474887902398639,5
mar,0.05,Mean,CXXC5,0.9324484078591235,0.04241136153606984,0.7091277768634259,0.03793684412910547,5
mar,0.05,Mean,EGFR,0.9755449359265637,0.21679283399487587,0.6235301316393367,0.09330934358339449,5
mar,0.05,Mean,ERBB2,1.3524892841098994,0.14063085725875213,1.0183760007353342,0.09629453878942405,5
mar,0.05,Mean,ESR1,2.271056600809925,0.0608972442709301,1.8726476617044128,0.04768912641919881,5
mar,0.05,Mean,EXO1,0.856801216772195,0.06555719229382706,0.7289709229589025,0.06495690761398326,5
mar,0.05,Mean,FGFR4,1.004808929582193,0.1602653210861505,0.7552291037925813,0.06613652604690258,5
mar,0.05,Mean,FOXA1,2.0749972585906096,0.19711379494601855,1.3235881771543139,0.17501471629300638,5
mar,0.05,Mean,FOXC1,1.4357920998612945,0.1556524930278215,0.9852972490753269,0.11742897762178658,5
mar,0.05,Mean,GPR160,0.8967135819117106,0.08680728959228536,0.6941219405377353,0.07066826470033782,5
mar,0.05,Mean,GRB7,1.1343302138229705,0.1354154367959831,0.8221305201170347,0.08174647251947734,5
mar,0.05,Mean,KIF2C,0.9151880021915222,0.06091609387259226,0.7785709345327897,0.05655439913462751,5
mar,0.05,Mean,KRT14,1.2714666928544152,0.0888800702621029,1.02187602649411,0.048217108824806315,5
mar,0.05,Mean,KRT17,1.7522944820107953,0.07219132413748067,1.4299512403479917,0.049542995953011586,5
mar,0.05,Mean,KRT5,1.1886387364084126,0.1390366948622444,0.8139208587273898,0.09607924018342547,5
