dataset,mechanism,missing_rate,method,metric,n_replications,mean,std,median,iqr,ci95_low,ci95_high
CPTAC 2C,MAR,0.1,KNN,bal_acc,10,0.9112121212121214,0.0198487097424738,0.9081439393939393,0.02604166666666652,0.8970132096232355,0.9254110328010072
CPTAC 2C,MAR,0.1,RFECA-k5,bal_acc,10,0.9091287878787879,0.029079601346440637,0.9125000000000001,0.04554924242424252,0.8883264942327378,0.929931081524838
CPTAC 2C,MAR,0.1,RFECA-k10,bal_acc,10,0.9057954545454546,0.021102145467035024,0.9041666666666666,0.023958333333333415,0.8906998890548136,0.9208910200360957
CPTAC 2C,MAR,0.1,RFECA-k20,bal_acc,10,0.9124621212121212,0.020144686635763208,0.9145833333333333,0.02926136363636378,0.898051480508613,0.9268727619156294
CPTAC 2C,MAR,0.1,MissForest,bal_acc,10,0.9202651515151515,0.016171723875228135,0.9206439393939394,0.029166666666666674,0.9086965971595564,0.9318337058707467
CPTAC 2C,MAR,0.2,Mean,bal_acc,10,0.8849621212121213,0.025641604890033698,0.8895833333333334,0.027083333333333237,0.8666192220738644,0.9033050203503781
CPTAC 2C,MAR,0.2,KNN,bal_acc,10,0.9208333333333332,0.019739820004933215,0.9270833333333333,0.028125000000000178,0.9067123167701863,0.9349543498964801
CPTAC 2C,MAR,0.2,RFECA-k5,bal_acc,10,0.8920833333333332,0.02541704614167239,0.8895833333333334,0.043749999999999956,0.8739010738465128,0.9102655928201536
CPTAC 2C,MAR,0.2,RFECA-k10,bal_acc,10,0.8966666666666667,0.019023215186959944,0.89375,0.02708333333333346,0.8830582783089089,0.9102750550244245
CPTAC 2C,MAR,0.2,RFECA-k20,bal_acc,10,0.8812121212121211,0.021363546815486797,0.8812500000000001,0.018750000000000044,0.865929560461635,0.8964946819626072
CPTAC 2C,MAR,0.2,MissForest,bal_acc,10,0.9208333333333334,0.011453071182271284,0.9229166666666667,0.008333333333333415,0.912640299768522,0.9290263668981448
CPTAC 2C,MAR,0.3,Mean,bal_acc,10,0.8540909090909091,0.02524482205740684,0.8539772727272728,0.01799242424242431,0.8360318512921425,0.8721499668896757
CPTAC 2C,MAR,0.3,KNN,bal_acc,10,0.876628787878788,0.03473303321136271,0.8833333333333334,0.04507575757575755,0.8517822727057311,0.9014753030518448
CPTAC 2C,MAR,0.3,RFECA-k5,bal_acc,10,0.8782954545454545,0.022610565950068377,0.8833333333333333,0.028125000000000067,0.8621208300451679,0.8944700790457412
CPTAC 2C,MAR,0.3,RFECA-k10,bal_acc,10,0.874090909090909,0.022170652973701032,0.874810606060606,0.03125,0.8582309793762929,0.8899508388055252
CPTAC 2C,MAR,0.3,RFECA-k20,bal_acc,10,0.8657575757575756,0.023069947492316386,0.8645833333333333,0.031155303030303005,0.8492543294985665,0.8822608220165847
CPTAC 2C,MAR,0.3,MissForest,bal_acc,10,0.889090909090909,0.023962504294843624,0.8833333333333333,0.03494318181818179,0.8719491661592409,0.9062326520225772
CPTAC 2C,MAR,0.05,Mean,corr_frobenius_rel,10,0.15674892325748008,0.005852256364716452,0.15772403822728454,0.007641269054991767,0.15256247125146938,0.16093537526349078
