experiment,imputer,missing_rate,model,f1_mean,f1_std,bal_mean,bal_std,f1_pm_std,bal_pm_std,n
k20_scaler,RFECA_SVR(k=20),0.05,SVC,0.9320353660831922,0.0106374655012761,0.9216666666666666,0.0110763344652094,0.9320 ± 0.0106,0.9217 ± 0.0111,10
k20_scaler,RFECA_SVR(k=20),0.05,EnsembleSoft,0.9313014649601604,0.0181041007199472,0.9215530303030304,0.0193313400094394,0.9313 ± 0.0181,0.9216 ± 0.0193,10
k20_scaler,RFECA_SVR(k=20),0.05,EnsembleHard,0.9295265270960924,0.0156162659551223,0.9195833333333332,0.0182204013317862,0.9295 ± 0.0156,0.9196 ± 0.0182,10
k20_scaler,RFECA_SVR(k=20),0.05,LogReg,0.915271064684108,0.0133545760064573,0.9092424242424242,0.012355944742204,0.9153 ± 0.0134,0.9092 ± 0.0124,10
k20_scaler,RFECA_SVR(k=20),0.05,RF,0.910060848571718,0.0137337970935089,0.9034848484848486,0.012413356485775,0.9101 ± 0.0137,0.9035 ± 0.0124,10
k20_scaler,RFECA_SVR(k=20),0.05,GB,0.805058397801876,0.0305863536747687,0.793590909090909,0.0334627919190258,0.8051 ± 0.0306,0.7936 ± 0.0335,10
k20_scaler,RFECA_SVR(k=20),0.1,SVC,0.9309345096932052,0.0142776150702269,0.91875,0.0165796338698796,0.9309 ± 0.0143,0.9187 ± 0.0166,10
k20_scaler,RFECA_SVR(k=20),0.1,EnsembleHard,0.9290315515402472,0.014873895184246,0.9170833333333333,0.0170613001545299,0.9290 ± 0.0149,0.9171 ± 0.0171,10
k20_scaler,RFECA_SVR(k=20),0.1,LogReg,0.918122168893908,0.0160592913789129,0.9121590909090908,0.0168771621030609,0.9181 ± 0.0161,0.9122 ± 0.0169,10
k20_scaler,RFECA_SVR(k=20),0.1,EnsembleSoft,0.912253933747412,0.0156861082020546,0.9027272727272728,0.0180434550113909,0.9123 ± 0.0157,0.9027 ± 0.0180,10
k20_scaler,RFECA_SVR(k=20),0.1,RF,0.9007413931479148,0.0158660778567815,0.8933712121212121,0.0195680594494519,0.9007 ± 0.0159,0.8934 ± 0.0196,10
k20_scaler,RFECA_SVR(k=20),0.1,GB,0.7807402251532686,0.0380272115019928,0.7732121212121211,0.0367640725561684,0.7807 ± 0.0380,0.7732 ± 0.0368,10
k20_scaler,RFECA_SVR(k=20),0.2,SVC,0.9143810115005768,0.0274341690674445,0.8982954545454545,0.0311908301168668,0.9144 ± 0.0274,0.8983 ± 0.0312,10
k20_scaler,RFECA_SVR(k=20),0.2,EnsembleHard,0.9129690512386164,0.0207732289860671,0.8982954545454545,0.0241714620597157,0.9130 ± 0.0208,0.8983 ± 0.0242,10
k20_scaler,RFECA_SVR(k=20),0.2,LogReg,0.9023962069331636,0.0232186444843307,0.8934848484848483,0.0218597037560254,0.9024 ± 0.0232,0.8935 ± 0.0219,10
k20_scaler,RFECA_SVR(k=20),0.2,EnsembleSoft,0.8998473951169604,0.0122380219106224,0.8907196969696969,0.0133519369181928,0.8998 ± 0.0122,0.8907 ± 0.0134,10
k20_scaler,RFECA_SVR(k=20),0.2,RF,0.8802953959084393,0.0116226618599021,0.8728030303030303,0.0133859822944583,0.8803 ± 0.0116,0.8728 ± 0.0134,10
k20_scaler,RFECA_SVR(k=20),0.2,GB,0.7514444579575014,0.065279436008161,0.7487424242424242,0.0578288694778588,0.7514 ± 0.0653,0.7487 ± 0.0578,10
k20_scaler,RFECA_SVR(k=20),0.3,EnsembleHard,0.8867761052956705,0.0310182690712167,0.872840909090909,0.0322901948033883,0.8868 ± 0.0310,0.8728 ± 0.0323,10
k20_scaler,RFECA_SVR(k=20),0.3,SVC,0.8843609266379131,0.0263715562201772,0.866090909090909,0.0259545646187431,0.8844 ± 0.0264,0.8661 ± 0.0260,10
k20_scaler,RFECA_SVR(k=20),0.3,LogReg,0.8794559177537439,0.0362215547606388,0.875121212121212,0.036936619302881,0.8795 ± 0.0362,0.8751 ± 0.0369,10
k20_scaler,RFECA_SVR(k=20),0.3,EnsembleSoft,0.8790495873691526,0.0412564976948927,0.869810606060606,0.043288768995795,0.8790 ± 0.0413,0.8698 ± 0.0433,10
k20_scaler,RFECA_SVR(k=20),0.3,RF,0.8638338193207759,0.0136759840349934,0.856401515151515,0.0155855856827185,0.8638 ± 0.0137,0.8564 ± 0.0156,10
k20_scaler,RFECA_SVR(k=20),0.3,GB,0.7276074998409332,0.0563147157628609,0.7295833333333334,0.0503650110273199,0.7276 ± 0.0563,0.7296 ± 0.0504,10
