dataset,mechanism,missing_rate,method,metric,n_replications,mean,std,median,iqr,ci95_low,ci95_high
CPTAC 2C,MCAR,0.2,KNN,recall_macro,10,0.9040530303030303,0.02523803245734758,0.9104166666666667,0.029829545454545414,0.885998829491555,0.9221072311145057
CPTAC 2C,MCAR,0.2,MissForest,recall_macro,10,0.9048863636363637,0.02366301080374026,0.9102272727272727,0.02954545454545454,0.8879588654418497,0.9218138618308777
CPTAC 2C,MCAR,0.3,Mean,recall_macro,10,0.8791287878787879,0.03216623111812222,0.8708333333333333,0.03967803030303019,0.8561184523093907,0.9021391234481851
CPTAC 2C,MCAR,0.3,KNN,recall_macro,10,0.9011363636363635,0.020935242027234947,0.8975378787878788,0.03446969696969693,0.8861601936740137,0.9161125335987134
CPTAC 2C,MCAR,0.3,MissForest,recall_macro,10,0.9090151515151514,0.01626956530547325,0.906060606060606,0.011837121212121215,0.8973766056167404,0.9206536974135625
CPTAC 2C,MCAR,0.05,Mean,rmse,10,2.8081285785899355,0.18395351468261026,2.8116672468966595,0.3046178840221456,2.676536161484154,2.939720995695717
CPTAC 2C,MCAR,0.05,KNN,rmse,10,2.016992315275133,0.11987419331205881,1.965304067049098,0.17620226963254249,1.931239483241689,2.1027451473085765
CPTAC 2C,MCAR,0.05,MissForest,rmse,10,1.7610788481651167,0.1003083553974721,1.7772359959852722,0.10964169332144325,1.6893225734049753,1.8328351229252582
CPTAC 2C,MCAR,0.1,Mean,rmse,10,2.8483087786082413,0.09058913250776478,2.845426071923005,0.115175632171022,2.78350521706292,2.9131123401535626
CPTAC 2C,MCAR,0.1,KNN,rmse,10,2.0850778545925936,0.11379400552241815,2.0740215799349127,0.15399878543523804,2.0036745268840677,2.1664811823011196
CPTAC 2C,MCAR,0.1,MissForest,rmse,10,1.8333837943905078,0.12244785247441568,1.852359648821578,0.10231581915518762,1.7457898775016574,1.9209777112793582
CPTAC 2C,MCAR,0.2,Mean,rmse,10,2.7960689101501353,0.051950699767312945,2.7967481624684845,0.04187176290009287,2.758905618301579,2.8332322019986913
CPTAC 2C,MCAR,0.2,KNN,rmse,10,2.0782866261679245,0.0684393669950665,2.064894572308617,0.07487551491683853,2.029328052347743,2.127245199988106
CPTAC 2C,MCAR,0.2,MissForest,rmse,10,1.8573458378272778,0.05092296742722417,1.864518581247347,0.06322985250715951,1.8209177414056938,1.8937739342488618
CPTAC 2C,MCAR,0.3,Mean,rmse,10,2.785821428510163,0.06502085802016538,2.793768273771068,0.05374031012457836,2.739308308693299,2.8323345483270264
CPTAC 2C,MCAR,0.3,KNN,rmse,10,2.1541714459240033,0.08054532937827494,2.1509652774792,0.06244440905018145,2.0965527883095727,2.211790103538434
CPTAC 2C,MCAR,0.3,MissForest,rmse,10,1.925343403590792,0.08772870812679523,1.949533499879776,0.10691687856872933,1.8625860663804041,1.9881007408011797
METABRIC,MAR,0.0,Mean,bal_acc,10,0.8752464911354514,0.0,0.8752464911354514,0.0,0.8752464911354514,0.8752464911354514
METABRIC,MAR,0.0,KNN,bal_acc,10,0.8752464911354514,0.0,0.8752464911354514,0.0,0.8752464911354514,0.8752464911354514
METABRIC,MAR,0.0,MissForest,bal_acc,10,0.8752464911354514,0.0,0.8752464911354514,0.0,0.8752464911354514,0.8752464911354514
METABRIC,MAR,0.05,Mean,bal_acc,10,0.8709846637102736,0.004990042401514684,0.8723235657510369,0.0060623484524319204,0.8674150024172637,0.8745543250032836
METABRIC,MAR,0.05,KNN,bal_acc,10,0.8702920596020725,0.0028670348077307942,0.8701085515896172,0.00227961000987309,0.8682411064527039,0.872343012751441
METABRIC,MAR,0.05,MissForest,bal_acc,10,0.8707137577869286,0.003892971073612633,0.8696823984388169,0.002934371914635081,0.8679288940446758,0.8734986215291815
METABRIC,MAR,0.1,Mean,bal_acc,10,0.8652054267227566,0.004634815357157105,0.8656137919632785,0.007022450342411779,0.8618898795491153,0.8685209738963978
METABRIC,MAR,0.1,KNN,bal_acc,10,0.8680423254181278,0.0022262217321915782,0.8678676273092192,0.0027136971215917516,0.8664497823277826,0.8696348685084729
