mechanism,missing_rate,method,metric,mean,std,ci95_low,ci95_high,n_replications
MAR,0.1,KNN,f1_macro,0.8778545991857504,0.00240913222402537,0.8761312098118974,0.8795779885596033,10
MAR,0.1,RFECA-k5,f1_macro,0.8787595376156411,0.003955616527299139,0.8759298600154659,0.8815892152158162,10
MAR,0.1,RFECA-k10,f1_macro,0.8768648126699196,0.003553932544941722,0.8743224824805416,0.8794071428592976,10
MAR,0.1,RFECA-k20,f1_macro,0.8779987803856862,0.004852608366514776,0.8745274334787289,0.8814701272926436,10
MAR,0.1,MissForest,f1_macro,0.8791786876085735,0.0033499378402484805,0.8767822864399794,0.8815750887771677,10
MAR,0.1,Mean,precision_macro,0.8878425422609194,0.005301585047435613,0.8840500167846456,0.8916350677371933,10
MAR,0.1,KNN,precision_macro,0.8922774018183798,0.0031428011413081923,0.8900291773178525,0.8945256263189071,10
MAR,0.1,RFECA-k5,precision_macro,0.892845160710977,0.00453141961268577,0.8896035783971913,0.8960867430247627,10
MAR,0.1,RFECA-k10,precision_macro,0.8897807376319345,0.003362244782453585,0.8873755326072426,0.8921859426566265,10
MAR,0.1,RFECA-k20,precision_macro,0.8918730729583352,0.005407411502890314,0.8880048437963174,0.895741302120353,10
MAR,0.1,MissForest,precision_macro,0.8933857220922107,0.003937068638888423,0.8905693128521013,0.8962021313323201,10
MAR,0.1,Mean,recall_macro,0.8652054267227566,0.004634815357157132,0.8618898795491153,0.8685209738963978,10
MAR,0.1,KNN,recall_macro,0.8680423254181276,0.0022262217321915626,0.8664497823277825,0.8696348685084728,10
MAR,0.1,RFECA-k5,recall_macro,0.8690496381382132,0.0038908421124346634,0.8662662973630416,0.8718329789133848,10
MAR,0.1,RFECA-k10,recall_macro,0.8679069680854019,0.0038696622118162215,0.8651387784984055,0.8706751576723983,10
MAR,0.1,RFECA-k20,recall_macro,0.8684722639006978,0.004447393590441006,0.8652907901822061,0.8716537376191894,10
MAR,0.1,MissForest,recall_macro,0.8692159834175239,0.0027934152774771828,0.8672176945075367,0.8712142723275111,10
MAR,0.2,Mean,bal_acc,0.8540339809242248,0.004040971400670299,0.8511432441259253,0.8569247177225242,10
MAR,0.2,KNN,bal_acc,0.8621136891563721,0.0041981183907659,0.8591105361734552,0.865116842139289,10
MAR,0.2,RFECA-k5,bal_acc,0.8620926003108288,0.005442527649079532,0.8581992505711235,0.8659859500505341,10
MAR,0.2,RFECA-k10,bal_acc,0.8623739096447697,0.005101728147962199,0.85872435318174,0.8660234661077993,10
MAR,0.2,RFECA-k20,bal_acc,0.8627023619655197,0.004707431869987547,0.8593348680679378,0.8660698558631017,10
MAR,0.2,MissForest,bal_acc,0.8613616575622352,0.00620776177830494,0.856920892303504,0.8658024228209663,10
MAR,0.2,Mean,f1_macro,0.8635717320954566,0.004147372776659549,0.8606048803380384,0.8665385838528747,10
MAR,0.2,KNN,f1_macro,0.8721681465435436,0.004560609807750647,0.8689056828221317,0.8754306102649555,10
MAR,0.2,RFECA-k5,f1_macro,0.8708808668237511,0.005533216577360381,0.8669226421329049,0.8748390915145973,10
MAR,0.2,RFECA-k10,f1_macro,0.8709077508526741,0.005251212475195145,0.867151259743824,0.8746642419615243,10
MAR,0.2,RFECA-k20,f1_macro,0.8710153657068591,0.004621831916650036,0.8677091063270479,0.8743216250866703,10
MAR,0.2,MissForest,f1_macro,0.8707923202001207,0.005968836147905354,0.8665224720411092,0.8750621683591321,10
MAR,0.2,Mean,precision_macro,0.8774904960851106,0.004744073794995109,0.8740967901334264,0.8808842020367948,10
MAR,0.2,KNN,precision_macro,0.8865161893250117,0.00514418296062148,0.8828362625185545,0.890196116131469,10
MAR,0.2,RFECA-k5,precision_macro,0.8837314479413789,0.006083703521544283,0.8793794286133642,0.8880834672693937,10
MAR,0.2,RFECA-k10,precision_macro,0.8836161381559717,0.005316546156915664,0.8798129101467103,0.8874193661652332,10
MAR,0.2,RFECA-k20,precision_macro,0.8835481362242197,0.004410569547816848,0.880393004838925,0.8867032676095143,10
MAR,0.2,MissForest,precision_macro,0.8843587598368229,0.005757825396351598,0.8802398596761695,0.8884776599974763,10
